title,brand,price,image_urls,description,url
Jewel Neck Flare Dress,Monique Lhuillier,2995.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F231682%2Fimage_1.jpg%3Fv%3D638574359252400000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F231684%2Fimage_2.jpg%3Fv%3D638574359257530000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F231683%2Fimage_3.jpg%3Fv%3D638574359255670000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F231681%2Fimage_4.jpg%3Fv%3D638574359249900000""]","Monique Lhuillier Jewel Neck Flare Dress in French rose.
100% Polyester
Spot Clean
Made in USA",https://shop.harpersbazaar.com/jewel-neck-flare-dress-1721839124460-12964/p
Striped Floral Midi Dress,Maison Common,2495.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546423%2Fimage_1.jpg%3Fv%3D638640954197130000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546425%2Fimage_2.jpg%3Fv%3D638640954200400000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546424%2Fimage_3.jpg%3Fv%3D638640954198670000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546420%2Fimage_4.jpg%3Fv%3D638640954191870000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546419%2Fimage_5.jpg%3Fv%3D638640954190930000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546422%2Fimage_6.jpg%3Fv%3D638640954196070000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546421%2Fimage_7.jpg%3Fv%3D638640954193100000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546418%2Fimage_8.jpg%3Fv%3D638640954189200000""]","Maison Common Striped Floral Midi Dress in Pink and White. 
100% Cotton 
Dry Clean 
Made in Germany",https://shop.harpersbazaar.com/striped-floral-midi-dress-1728496807059-70970/p
Boatneck Maxi Dress,Majestic Filatures,195.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546261%2Fimage_1.jpg%3Fv%3D638640900090300000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546263%2Fimage_2.jpg%3Fv%3D638640900096100000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546262%2Fimage_3.jpg%3Fv%3D638640900094070000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546260%2Fimage_4.jpg%3Fv%3D638640900089170000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F546259%2Fimage_5.jpg%3Fv%3D638640900087000000""]","Majestic Filatures Boatneck Maxi Dress in Marine.
94% Viscose, 6% Elastane
Machine Wash
Imported",https://shop.harpersbazaar.com/boatneck-maxi-dress-1728493208269-70937/p
Lily Dress,Altuzarra,1885.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F633304%2Fimage_1.jpg%3Fv%3D638671122123130000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F633305%2Fimage_2.jpg%3Fv%3D638671122127670000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F534152%2Fimage_3.jpg%3Fv%3D638640036169970000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F542893%2Fimage_4.jpg%3Fv%3D638640036164770000""]",The ultimate rouched eyelet dress. Strolling along the Seine in France... or meeting your friends for brunch. This dress is a must have.,https://shop.harpersbazaar.com/lily-dress-1727809324937-68543/p
The Ellie Dress,Kirna Zabête,395.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533440%2Fimage_1.jpg%3Fv%3D638633918427270000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533442%2Fimage_2.jpg%3Fv%3D638641530080900000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533441%2Fimage_3.jpg%3Fv%3D638641530079000000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533439%2Fimage_4.jpg%3Fv%3D638641530076830000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533438%2Fimage_5.jpg%3Fv%3D638641530074630000""]","The Ellie Dress is a minimalist's dream summer shirtdress. It has a clean and pure silhouette in a lightweight denim. With a focus on the perfect fit, this dress nicely lays through the middle and gently grazes the body. This button-down shirtdress features an elbow-length sleeve. 
Designed by founder Beth Buccini.
Composition: 100% Cotton
Size and Fit: Runs True to Size. 
Model is 5'9"" and wears a size S.
Origin: Made in USA",https://shop.harpersbazaar.com/the-ellie-dress-1727795041600-68367/p
The Gigi Dress,Kirna Zabête,395.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533463%2Fimage_1.jpg%3Fv%3D638641332085600000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F533464%2Fimage_2.jpg%3Fv%3D638641332088100000""]","The Gigi Dress is a Midi-Length version of our best-selling Virginia Dress. This timeless Belted Shirt Dress Silhouette Exudes Elegance, making it the perfect Breezy Warm Weather Dress. Featuring a point Collar and Cap Sleeves, the Gigi Dress has front button fastening with a removable belt for a cinched waistline. Complete with a ruffled hem for added volume, this dress will be your no-brainer style throughout the summer. Did we mention it has pockets? Designed by founder Beth Buccini.",https://shop.harpersbazaar.com/the-gigi-dress-1727795030731-68372/p
Georgia Dress,Dwarmis,595.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222247%2Fimage_1.jpg%3Fv%3D638601948128330000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222249%2Fimage_2.jpg%3Fv%3D638601948132870000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222248%2Fimage_3.jpg%3Fv%3D638601948130200000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222246%2Fimage_4.jpg%3Fv%3D638601948123800000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F459349%2Fimage_5.jpg%3Fv%3D638601948121770000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F459350%2Fimage_6.jpg%3Fv%3D638601948126300000""]","Product Details:

Sleek effortless is reimagined in our opulent silk open back dress. The glamorous loose silhouette falls above the ankle and it has a side slit for ease of movement. Finished with heavy topstitch this dress will make you feel at your best and extremely comfortable.
Made in New York City

Material and Care:

-Woven Silk Satin/Silk Georgette: Silk (100%)
-No lining
-Silk Georgette tie at neck
-Open back
-Side slit
-Dry Clean
-Length: 50″ (127 cm) base on size XS/Small
-Style number: 4070",https://shop.harpersbazaar.com/georgia-dress-1721673020846-10756/p
Valerie Dress,Dwarmis,475.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222229%2Fimage_1.jpg%3Fv%3D638572698164400000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222231%2Fimage_2.jpg%3Fv%3D638572698168470000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222230%2Fimage_3.jpg%3Fv%3D638572698165330000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F222228%2Fimage_4.jpg%3Fv%3D638572698162500000""]","Product Details :
The Valerie Dress is easy perfect dress for the everyday. It has slightly opening on the back with self ties, bringing femininity to very cool shape.
Made in New York City

Material and Care:

-Dobby stripe fabric: (100% Cotton)
-Loose fit
-Fits from XS to L
-Cotton voile lining
-body length: 47 3/4″ (121.28cm) ; sleeve length: 22.5″ (57.15cm)
-style number: 406",https://shop.harpersbazaar.com/valerie-dress-1721673015874-10751/p
Cavola Embroidered Long Dress,Loulou De Saison,710.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F458455%2Fimage_1.jpg%3Fv%3D638600130138270000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F429455%2Fimage_2.jpg%3Fv%3D638584759660200000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F429454%2Fimage_3.jpg%3Fv%3D638584759658470000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F429452%2Fimage_4.jpg%3Fv%3D638600130133900000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F429451%2Fimage_5.jpg%3Fv%3D638600130131500000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F429453%2Fimage_6.jpg%3Fv%3D638600130135600000""]",Embroidered Empire Elegance. This dress is absolutely beautiful with the textured fabric detail. It also has pockets!! Style this for your next bridal event or wear it with a causal shoe for a simple look.,https://shop.harpersbazaar.com/cavola-embroidered-long-dress-1722879157898-43631/p
Edna Dress,Sara Roka,1550.0,"[""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F428691%2Fimage_1.jpg%3Fv%3D638585028040670000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F428693%2Fimage_2.jpg%3Fv%3D638597772074400000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F428692%2Fimage_3.jpg%3Fv%3D638597772072500000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F428690%2Fimage_4.jpg%3Fv%3D638597772069870000"", ""https://harpersbazaarprod.vtexassets.com/unsafe/154x0/center/middle/filters:quality(60)/https%3A%2F%2Fharpersbazaarprod.vtexassets.com%2Farquivos%2Fids%2F428689%2Fimage_5.jpg%3Fv%3D638597772067670000""]","Sara Roka Edna dress in Pink/Magenta Degrade.
69% Cotton, 31% Silk 1° Interno: 100% Cotton 2° Interno: 100% Polyamide 
Dry clean only
Made in Italy",https://shop.harpersbazaar.com/edna-dress-1722636154016-43458/p
